(base) [labuser@hypatia gui]$ psql -U vo_admin -d telescope_db
psql (13.16)
Type "help" for help.

telescope_db=> SELECT * FROM tblrun_info LIMIT 3000;
 run_id | veritas_run_id |  run_type   |   run_status   | run_window |    db_start_time    |     db_end_time     |   data_start_time   |    data_end_time    | duration | telescope_mask | harvester_mask |         source_id          
--------+----------------+-------------+----------------+------------+---------------------+---------------------+---------------------+---------------------+----------+----------------+----------------+----------------------------
      1 |         109730 | other       | ended_manually |          1 | 2024-10-30 22:44:02 | 2024-10-30 22:44:06 | 2024-10-30 22:44:02 | 2024-10-30 22:44:06 | 00:00:30 |              0 |              0 | localhost
      2 |         109730 | other       | ended          |          1 | 2024-10-30 22:44:10 | 2024-10-30 22:44:40 | 2024-10-30 22:44:10 | 2024-10-30 22:44:40 | 00:00:30 |              0 |              0 | localhost
      3 |         109820 | other       | ended          |          1 | 2024-11-03 21:36:28 | 2024-11-03 21:36:38 | 2024-11-03 21:36:28 | 2024-11-03 21:36:38 | 00:00:10 |             14 |            254 | testcrate
      4 |         109820 | other       | ended_manually |          1 | 2024-11-03 21:39:47 | 2024-11-03 21:41:17 | 2024-11-03 21:39:47 | 2024-11-03 21:41:17 | 00:10:00 |             14 |            254 | testcrate
      5 |         109820 | other       | ended_manually |          1 | 2024-11-03 21:44:05 | 2024-11-03 21:44:56 | 2024-11-03 21:44:05 | 2024-11-03 21:44:56 | 00:10:00 |             14 |            254 | testcrate
      6 |         109820 | other       | ended_manually |          1 | 2024-11-03 22:09:31 | 2024-11-03 22:09:54 | 2024-11-03 22:09:31 | 2024-11-03 22:09:54 | 01:00:00 |             14 |            254 | testcrate
      7 |         109820 | other       | ended          |          1 | 2024-11-03 22:40:44 | 2024-11-03 22:41:04 | 2024-11-03 22:40:44 | 2024-11-03 22:41:04 | 00:00:20 |             14 |     4294967294 | testcrate
      8 |         109820 | other       | ended_manually |          1 | 2024-11-03 22:41:52 | 2024-11-03 22:43:17 | 2024-11-03 22:41:52 | 2024-11-03 22:43:17 | 00:10:00 |             14 |     4294967294 | testcrate
      9 |         109820 | other       | ended          |          1 | 2024-11-03 22:45:28 | 2024-11-03 22:45:38 | 2024-11-03 22:45:28 | 2024-11-03 22:45:38 | 00:00:10 |             14 |     4294967294 | testcrate
     10 |         109820 | other       | ended          |          1 | 2024-11-03 22:45:49 | 2024-11-03 22:45:59 | 2024-11-03 22:45:49 | 2024-11-03 22:45:59 | 00:00:10 |             14 |     4294967294 | testcrate
     11 |         109820 | other       | ended          |          1 | 2024-11-03 22:46:22 | 2024-11-03 22:46:32 | 2024-11-03 22:46:22 | 2024-11-03 22:46:32 | 00:00:10 |             14 |     4294967294 | testcrate
     12 |         109820 | other       | ended          |          1 | 2024-11-03 22:46:55 | 2024-11-03 22:47:05 | 2024-11-03 22:46:55 | 2024-11-03 22:47:05 | 00:00:10 |             14 |     4294967294 | testcrate
     13 |         109820 | other       | ended          |          1 | 2024-11-03 22:57:27 | 2024-11-03 22:57:37 | 2024-11-03 22:57:27 | 2024-11-03 22:57:37 | 00:00:10 |             14 |     4294967294 | testcrate
     14 |         109820 | other       | ended          |          1 | 2024-11-04 13:02:25 | 2024-11-04 13:02:35 | 2024-11-04 13:02:25 | 2024-11-04 13:02:35 | 00:00:10 |             14 |     4294967294 | testcrate
     15 |         109820 | other       | ended          |          1 | 2024-11-04 13:03:35 | 2024-11-04 13:04:35 | 2024-11-04 13:03:35 | 2024-11-04 13:04:35 | 00:01:00 |             14 |     4294967294 | testcrate
     16 |         109820 | other       | ended_manually |          1 | 2024-11-04 13:05:31 | 2024-11-04 13:13:35 | 2024-11-04 13:05:31 | 2024-11-04 13:13:35 | 00:10:00 |             14 |     4294967294 | testcrate
     17 |         109820 | other       | ended_manually |          1 | 2024-11-04 13:15:00 | 2024-11-04 13:33:06 | 2024-11-04 13:15:00 | 2024-11-04 13:33:06 | 01:00:00 |             14 |     4294967294 | testcrate
     18 |         109820 | other       | ended          |          1 | 2024-11-04 13:33:15 | 2024-11-04 13:33:25 | 2024-11-04 13:33:15 | 2024-11-04 13:33:25 | 00:00:10 |             14 |     4294967294 | testcrate
     19 |         109820 | other       | ended          |          1 | 2024-11-04 13:39:57 | 2024-11-04 13:40:07 | 2024-11-04 13:39:57 | 2024-11-04 13:40:07 | 00:00:10 |             14 |     4294967294 | testcrate
     20 |         109820 | other       | ended_manually |          1 | 2024-11-04 13:43:15 | 2024-11-04 13:43:44 | 2024-11-04 13:43:15 | 2024-11-04 13:43:44 | 01:00:00 |             14 |     4294967294 | testcrate
     21 |         109820 | other       | ended_manually |          1 | 2024-11-04 14:06:45 | 2024-11-04 14:07:12 | 2024-11-04 14:06:45 | 2024-11-04 14:07:12 | 01:00:00 |             14 |     4294967294 | testcrate
     22 |         109820 | other       | ended          |          1 | 2024-11-04 14:07:17 | 2024-11-04 14:07:27 | 2024-11-04 14:07:17 | 2024-11-04 14:07:27 | 00:00:10 |             14 |     4294967294 | testcrate
     23 |         109820 | other       | ended          |          1 | 2024-11-04 14:32:06 | 2024-11-04 14:33:06 | 2024-11-04 14:32:06 | 2024-11-04 14:33:06 | 00:01:00 |             14 |     4294967294 | testcrate
     24 |         109820 | other       | ended_manually |          1 | 2024-11-04 14:33:12 | 2024-11-04 14:34:01 | 2024-11-04 14:33:12 | 2024-11-04 14:34:01 | 00:01:00 |             14 |     4294967294 | testcrate
     25 |         109820 | other       | ended_manually |          1 | 2024-11-04 14:35:53 | 2024-11-04 14:44:43 | 2024-11-04 14:35:53 | 2024-11-04 14:44:43 | 01:00:00 |             14 |     4294967294 | testcrate
     26 |         109820 | other       | ended_manually |          2 | 2024-11-04 14:44:57 | 2024-11-04 14:45:49 | 2024-11-04 14:44:57 | 2024-11-04 14:45:49 | 01:00:00 |             14 |     4294967294 | testcrate
     27 |         109820 | other       | ended_manually |          1 | 2024-11-04 14:46:08 | 2024-11-04 15:44:37 | 2024-11-04 14:46:08 | 2024-11-04 15:44:37 | 01:00:00 |             14 |     4294967294 | testcrate
     28 |         109820 | other       | ended          |          1 | 2024-11-04 15:45:43 | 2024-11-04 15:45:53 | 2024-11-04 15:45:43 | 2024-11-04 15:45:53 | 00:00:10 |             14 |     4294967294 | testcrate
     29 |         109820 | other       | ended          |          1 | 2024-11-05 12:53:16 | 2024-11-05 12:53:26 | 2024-11-05 12:53:16 | 2024-11-05 12:53:26 | 00:00:10 |             14 |     4294967294 | testcrate
     30 |         109820 | other       | ended          |          1 | 2024-11-05 12:55:05 | 2024-11-05 12:55:15 | 2024-11-05 12:55:05 | 2024-11-05 12:55:15 | 00:00:10 |             14 |     4294967294 | testcrate
     31 |         109820 | other       | ended          |          1 | 2024-11-05 13:01:52 | 2024-11-05 13:01:53 | 2024-11-05 13:01:52 | 2024-11-05 13:01:53 | 00:00:01 |             14 |     4294967294 | testcrate
     32 |         109820 | other       | ended          |          1 | 2024-11-05 13:13:56 | 2024-11-05 13:13:57 | 2024-11-05 13:13:56 | 2024-11-05 13:13:57 | 00:00:01 |             14 |     4294967294 | testcrate
     33 |         109820 | other       | ended          |          1 | 2024-11-07 12:35:28 | 2024-11-07 12:35:29 | 2024-11-07 12:35:28 | 2024-11-07 12:35:29 | 00:00:01 |             14 |     4294967294 | testcrate
     34 |         109820 | other       | ended          |          1 | 2024-11-07 12:35:37 | 2024-11-07 12:35:38 | 2024-11-07 12:35:37 | 2024-11-07 12:35:38 | 00:00:01 |             14 |     4294967294 | testcrate
     35 |         109820 | other       | ended          |          1 | 2024-11-07 12:35:48 | 2024-11-07 12:35:57 | 2024-11-07 12:35:48 | 2024-11-07 12:35:57 | 00:00:10 |             14 |     4294967294 | testcrate
     36 |         109820 | other       | ended          |          1 | 2024-11-07 12:36:36 | 2024-11-07 12:36:46 | 2024-11-07 12:36:36 | 2024-11-07 12:36:46 | 00:00:10 |             14 |     4294967294 | testcrate
     37 |         109820 | other       | ended          |          1 | 2024-11-07 12:36:54 | 2024-11-07 12:37:06 | 2024-11-07 12:36:54 | 2024-11-07 12:37:06 | 00:00:12 |             14 |     4294967294 | testcrate
     38 |         109820 | other       | ended          |          1 | 2024-11-07 12:37:14 | 2024-11-07 12:37:25 | 2024-11-07 12:37:14 | 2024-11-07 12:37:25 | 00:00:11 |             14 |     4294967294 | testcrate
     39 |         109820 | other       | ended          |          1 | 2024-11-07 12:50:12 | 2024-11-07 12:50:23 | 2024-11-07 12:50:12 | 2024-11-07 12:50:23 | 00:00:11 |             14 |     4294967294 | testcrate
     40 |         109820 | other       | ended          |          1 | 2024-11-07 12:55:01 | 2024-11-07 12:55:11 | 2024-11-07 12:55:01 | 2024-11-07 12:55:11 | 00:00:10 |             14 |     4294967294 | testcrate
     41 |         109820 | other       | ended          |          1 | 2024-11-07 13:07:46 | 2024-11-07 13:07:56 | 2024-11-07 13:07:46 | 2024-11-07 13:07:56 | 00:00:10 |             14 |     4294967294 | testcrate
     42 |         109820 | observing   | ended          |          1 | 2024-11-07 13:08:29 | 2024-11-07 13:08:39 | 2024-11-07 13:08:29 | 2024-11-07 13:08:39 | 00:00:10 |             14 |     4294967294 | testcrate
     43 |         109820 | observing   | ended          |          1 | 2024-11-07 13:13:47 | 2024-11-07 13:13:48 | 2024-11-07 13:13:47 | 2024-11-07 13:13:48 | 00:00:01 |             14 |     4294967294 | testcrate
     44 |         109820 | observing   | ended          |          1 | 2024-11-07 13:13:58 | 2024-11-07 13:13:59 | 2024-11-07 13:13:58 | 2024-11-07 13:13:59 | 00:00:01 |             14 |     4294967294 | testcrate
     45 |         109820 | other       | ended_manually |          1 | 2024-11-10 11:39:51 | 2024-11-10 11:40:26 | 2024-11-10 11:39:51 | 2024-11-10 11:40:26 | 00:05:00 |             14 |     4294967294 | testcrate
     46 |         109820 | other       | ended_manually |          1 | 2024-11-10 11:41:37 | 2024-11-10 11:43:37 | 2024-11-10 11:41:37 | 2024-11-10 11:43:37 | 00:05:00 |             14 |     4294967294 | testcrate
     47 |         109820 | other       | ended_manually |          1 | 2024-11-10 11:44:23 | 2024-11-10 11:45:06 | 2024-11-10 11:44:23 | 2024-11-10 11:45:06 | 00:05:00 |             14 |     4294967294 | testcrate
     48 |         109820 | other       | ended_manually |          1 | 2024-11-10 11:52:39 | 2024-11-10 11:54:02 | 2024-11-10 11:52:39 | 2024-11-10 11:54:02 | 00:05:00 |             14 |     4294967294 | testcrate
     49 |         109820 | other       | ended_manually |          1 | 2024-11-10 11:55:07 | 2024-11-10 11:56:03 | 2024-11-10 11:55:07 | 2024-11-10 11:56:03 | 00:05:00 |             14 |     4294967294 | testcrate
